quote,speaker,episode,Tags
That sugarless motherfucker is the last drink you're ever gonna have.,Tony Soprano, S2 E9," revenge, execution, betrayal, violence, finality"
"Next time you come in, you come heavy or not at all.",Uncle Junior, S1 E13," warning, power, respect, threat, mob protocol"
"It's in his blood, this miserable fucking existence. My rotten, fucking putrid genes have infected my kid's soul. That's my gift to my son.",Tony Soprano, S6 E17," depression, fatherhood, guilt, genetics, despair"
"Sometimes you tell a lie so long, you don't know when to stop. You don't know when it's safe.",Vito Spatafore, S6 E10," identity, lies, fear, survival, self-deception"
Sometimes I feel like I've come in at the end. The best is over.,Tony Soprano, S1 E1," decline, nostalgia, depression, modern life, disillusionment"
You don't understand. We can't send him to military school. How are we gonna save this kid?,Tony Soprano, S3 E13," parenting, fear, vulnerability, family, panic"
There's no geographical solution to an emotional problem.,Dr. Jennifer Melfi, S4 E13," therapy, avoidance, emotional pain, self-deception, truth"
More is lost by indecision than wrong decision.,Tony Soprano, S4 E13," decision-making, leadership, risk, action, advice"
The only reason you have anything is because of my fucking sweat. You knew every step of the way where the money comes from. You walk around that fucking mansion with your $500 shoes and your diamond rings and you act like butter wouldn't melt in your mouth. You're entitled to shit.,Tony Soprano, S4 E13," marriage, money, hypocrisy, resentment, confrontation"
Don't put me to the test.,Tony Soprano, S2 E10," warning, authority, intimidation, control, threat"
It's none of your fucking business which side of the bed I wake up on.,Tony Soprano, S5 E1," privacy, anger, defensiveness, authority, boundaries"
You don't shit where you eat. And you really don't shit where I eat.,Tony Soprano, S4 E10," boundaries, business, warning, respect, control"
"If the proper response is not forthcoming in a businesslike time frame, my next move will not be further conversation.",Johnny Sack, S5 E13," threat, diplomacy, mob politics, pressure, finality"
"Somebody's talking too much, and it's costing me money.",Johnny Sack, S4 E4," gossip, money, suspicion, anger, betrayal"
We're soldiers. Soldiers don't go to hell.,Tony Soprano, S2 E9," morality, rationalization, violence, guilt, denial"
"What kind of person can I be, where his own mother wants him dead?",Tony Soprano, S1 E12," family, betrayal, depression, motherhood, despair"
"They needed us to build their cities and dig their subways, and make them richer. The Carnegies and the Rockefellers, they needed worker bees and there we were. But some of us didn't want to swarm around their hive and lose who we were. We wanted to stay Italian and preserve the things that meant something to us. Honor, and family, and loyalty. And some of us wanted a piece of the action.",Tony Soprano, S4 E3," Italian identity, class, history, family, pride"
He never had the makings of a varsity athlete, Uncle Junior, S5 E3, "insult, varsity sports, one liner, athleticism" 
